vessel_name,start_date,end_date
자항선 1,2024-03-09,2024-03-15
자항선 1,2024-03-25,2024-03-31
자항선 1,2024-04-16,2024-04-22
자항선 1,2024-04-30,2024-05-06
자항선 1,2024-05-15,2024-05-21
자항선 1,2024-05-30,2024-06-05
자항선 1,2024-06-17,2024-06-23
자항선 1,2024-07-02,2024-07-08
자항선 1,2024-07-16,2024-07-22
자항선 1,2024-10-24,2024-10-30
자항선 1,2024-11-14,2024-11-20
자항선 1,2024-12-12,2024-12-18
자항선 1,2024-12-31,2025-01-06
자항선 1,2025-01-16,2025-01-22
자항선 1,2025-02-06,2025-02-12
자항선 1,2025-03-05,2025-03-11
자항선 1,2025-03-20,2025-03-26
자항선 1,2025-04-10,2025-04-16
자항선 1,2025-04-24,2025-04-30
자항선 1,2025-04-30,2025-05-06
자항선 2,2024-03-05,2024-03-09
자항선 2,2024-03-16,2024-03-21
자항선 2,2024-03-30,2024-04-04
자항선 2,2024-04-12,2024-04-17
자항선 2,2024-05-11,2024-05-16
자항선 2,2024-05-21,2024-05-26
자항선 2,2024-06-04,2024-06-09
자항선 2,2024-07-07,2024-07-12
자항선 2,2024-09-02,2024-09-07
자항선 3,2024-03-09,2024-03-13
자항선 3,2024-04-01,2024-04-06
자항선 3,2024-04-16,2024-04-21
자항선 3,2024-04-30,2024-05-06
자항선 3,2024-05-15,2024-05-20
자항선 3,2024-05-29,2024-06-04
자항선 3,2024-06-16,2024-06-22
자항선 3,2024-07-16,2024-07-22
자항선 3,2024-07-30,2024-08-05
자항선 3,2024-08-18,2024-08-24
자항선 3,2024-09-04,2024-09-10
자항선 3,2024-09-19,2024-09-25
자항선 3,2024-10-03,2024-10-09
자항선 3,2024-10-30,2024-11-05
자항선 3,2024-11-27,2024-12-03
자항선 3,2024-12-17,2024-12-23
자항선 3,2025-01-21,2025-01-27
자항선 3,2025-02-11,2025-02-17
자항선 3,2025-02-25,2025-03-03
자항선 3,2025-03-11,2025-03-17
자항선 3,2025-04-01,2025-04-07
자항선 3,2025-04-15,2025-04-21
자항선 3,2025-04-28,2025-05-04
자항선 4,2024-05-18,2024-05-24
자항선 4,2024-05-30,2024-06-05
자항선 4,2024-06-11,2024-06-17
자항선 4,2024-06-23,2024-06-29
자항선 4,2024-07-05,2024-07-11
자항선 4,2024-07-17,2024-07-23
자항선 4,2024-08-05,2024-08-11
자항선 4,2024-08-18,2024-08-24
자항선 4,2024-08-29,2024-09-04
자항선 4,2024-09-09,2024-09-15
자항선 4,2024-09-24,2024-09-30
자항선 4,2024-10-09,2024-10-15
자항선 4,2024-10-23,2024-10-29
자항선 4,2024-11-16,2024-11-22
자항선 4,2024-12-19,2024-12-25
자항선 4,2025-01-22,2025-01-28
자항선 4,2025-02-01,2025-02-07
자항선 4,2025-02-12,2025-02-18
자항선 4,2025-02-25,2025-03-03
자항선 4,2025-03-13,2025-03-19
자항선 4,2025-04-07,2025-04-13
자항선 4,2025-04-17,2025-04-23
자항선 4,2025-04-30,2025-05-06
자항선 5,2024-06-04,2024-06-10
자항선 5,2024-06-21,2024-06-27
자항선 5,2024-07-10,2024-07-16
자항선 5,2024-07-21,2024-07-27
자항선 5,2024-08-11,2024-08-17
자항선 5,2024-08-22,2024-08-28
자항선 5,2024-09-01,2024-09-07
자항선 5,2024-09-14,2024-09-20
자항선 5,2024-10-02,2024-10-08
자항선 5,2024-10-22,2024-10-28
자항선 5,2024-12-14,2024-12-20
자항선 5,2025-01-09,2025-01-15
자항선 5,2025-02-06,2025-02-12
자항선 5,2025-03-08,2025-03-14
